category,case_id,opened_dt,sla_dt,closed_dt,late,dept,reason,type,case_status,source_id,address,council_district,xcoord,ycoord,report_start,report_end,zip
Health & Sanitation,1020227691,2025-03-24,2025-04-01,2025-03-24,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"1013 S TRINITY, SAN ANTONIO, 78207",5,2121511,13699629,2025-02-07,2026-02-07,78207
Health & Sanitation,1020228500,2025-03-24,2025-04-15,2025-06-18,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1116 N ELMENDORF ST, SAN ANTONIO, 78207",5,2118817,13707601,2025-02-07,2026-02-07,78207
Health & Sanitation,1020229455,2025-03-25,2025-04-01,2025-03-27,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"2618 S ZARZAMORA ST, SAN ANTONIO, 78207",5,2118067,13692534,2025-02-07,2026-02-07,78207
Health & Sanitation,1020229493,2025-03-25,2025-04-16,2025-05-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"813 S CIBOLO ST, SAN ANTONIO, 78207",5,2120516,13700380,2025-02-07,2026-02-07,78207
Health & Sanitation,1020230894,2025-03-25,2025-04-17,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1310 S BRAZOS ST, SAN ANTONIO, 78207",5,2123314,13698260,2025-02-07,2026-02-07,78207
Health & Sanitation,1020232320,2025-03-26,2025-04-17,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"514 EL PASO ST, SAN ANTONIO, 78207",5,2125831,13699999,2025-02-07,2026-02-07,78207
Health & Sanitation,1020233197,2025-03-26,2025-04-18,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"521 S NAVIDAD, SAN ANTONIO, 78207",5,2120224,13701494,2025-02-07,2026-02-07,78207
Health & Sanitation,1020234983,2025-03-27,2025-04-21,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"521 S NAVIDAD, SAN ANTONIO, 78207",5,2120224,13701494,2025-02-07,2026-02-07,78207
Health & Sanitation,1020236330,2025-03-28,2025-04-21,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"Amistad Park,  1600 TAMPICO ST, SAN ANTONIO, 78207",5,2120165,13698630,2025-02-07,2026-02-07,78207
Health & Sanitation,1020240950,2025-04-01,2025-04-07,2025-04-03,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"1025 S FRIO ST, SAN ANTONIO, 78207",5,2125847,13699030,2025-02-07,2026-02-07,78207
Health & Sanitation,1020242556,2025-04-02,2025-04-23,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"Cassiano Park,  1728 POTOSI ST, SAN ANTONIO, 78207",5,2118180,13698397,2025-02-07,2026-02-07,78207
Health & Sanitation,1020243893,2025-04-02,2025-04-08,2025-04-03,NO,Metro Health,Food Establishments,General Sanitation (Pests),Closed,Constituent Call,"2209 GUADALUPE ST, SAN ANTONIO, 78207",5,2119696,13700384,2025-02-07,2026-02-07,78207
Health & Sanitation,1020247952,2025-04-04,2025-04-10,2025-04-07,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"1025 S FRIO ST, SAN ANTONIO, 78207",5,2125847,13699030,2025-02-07,2026-02-07,78207
Health & Sanitation,1020248779,2025-04-04,2025-04-10,2025-04-07,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"821 W COMMERCE ST, SAN ANTONIO, 78207",5,2126548,13702866,2025-02-07,2026-02-07,78207
Health & Sanitation,1020252687,2025-04-07,2025-04-11,2025-04-09,NO,Metro Health,Food Establishments,General Sanitation (Food Contact Surfaces),Closed,Constituent Call,"430 S SANTA ROSA, SAN ANTONIO, 78207",1,2128324,13700975,2025-02-07,2026-02-07,78207
Health & Sanitation,1020252885,2025-04-07,2025-04-28,2025-06-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"511 GUADALUPE ST, SAN ANTONIO, 78207",5,2125993,13699775,2025-02-07,2026-02-07,78207
Health & Sanitation,1020254178,2025-04-08,2025-04-15,2025-04-09,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"1901 S SAN MARCOS, SAN ANTONIO, 78207",5,2123847,13695417,2025-02-07,2026-02-07,78207
Health & Sanitation,1020257773,2025-04-09,2025-04-15,2025-04-14,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"1631 S LAREDO ST, SAN ANTONIO, 78207",5,2124427,13697594,2025-02-07,2026-02-07,78207
Health & Sanitation,1020262585,2025-04-11,2025-04-18,2025-04-15,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"821 W COMMERCE ST, SAN ANTONIO, 78207",5,2126548,13702866,2025-02-07,2026-02-07,78207
Health & Sanitation,1020264447,2025-04-14,2025-04-18,2025-04-16,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"1502 N ZARZAMORA ST, SAN ANTONIO, 78207",1,2119699,13708921,2025-02-07,2026-02-07,78207
Health & Sanitation,1020268190,2025-04-15,2025-04-21,2025-04-15,NO,Metro Health,Vector,Vector Public Right of Way,Closed,Constituent Call,"1502 MORALES, SAN ANTONIO, 78207",5,2122470,13704936,2025-02-07,2026-02-07,78207
Health & Sanitation,1020268515,2025-04-15,2025-04-21,2025-04-16,NO,Metro Health,Vector,Vector Public Right of Way,Closed,Constituent Call,"1901 S SAN MARCOS, SAN ANTONIO, 78207",5,2123847,13695417,2025-02-07,2026-02-07,78207
Health & Sanitation,1020278240,2025-04-21,2025-04-25,2025-04-25,YES,Metro Health,Food Establishments,General Sanitation (Pests),Closed,Constituent Call,"827 S ZARZAMORA ST, SAN ANTONIO, 78207",5,2118678,13700533,2025-02-07,2026-02-07,78207
Health & Sanitation,1020281217,2025-04-22,2025-04-29,2025-04-24,NO,Metro Health,Food Establishments,General Sanitation (Food Contamination),Closed,Constituent Call,"2101 S LAREDO ST, SAN ANTONIO, 78207",5,2122618,13697810,2025-02-07,2026-02-07,78207
Health & Sanitation,1020281554,2025-04-23,2025-04-29,2025-04-24,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"100 N SANTA ROSA, SAN ANTONIO, 78207",1,2128415,13702727,2025-02-07,2026-02-07,78207
Health & Sanitation,1020284772,2025-04-24,2025-05-16,2025-06-24,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"126 MERIDA ST, SAN ANTONIO, 78207",5,2122261,13696046,2025-02-07,2026-02-07,78207
Health & Sanitation,1020289506,2025-04-28,2025-05-05,2025-04-29,NO,Metro Health,Food Establishments,General Sanitation (Food Contamination),Closed,Constituent Call,"1705 S ZARZAMORA ST, SAN ANTONIO, 78207",5,2118232,13696499,2025-02-07,2026-02-07,78207
Health & Sanitation,1020293646,2025-04-30,2025-05-07,2025-05-07,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"1901 W COMMERCE ST, SAN ANTONIO, 78207",5,2122657,13703245,2025-02-07,2026-02-07,78207
Health & Sanitation,1020299067,2025-05-03,2025-05-09,2025-05-07,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"Market Square,  514 W COMMERCE ST, SAN ANTONIO, 78207",1,2127825,13702560,2025-02-07,2026-02-07,78207
Health & Sanitation,1020300931,2025-05-05,2025-05-12,2025-05-07,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"1200 EL PASO ST, SAN ANTONIO, 78207",5,2123438,13700285,2025-02-07,2026-02-07,78207
Health & Sanitation,1020304737,2025-05-07,2025-05-29,2025-06-22,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1810 S LAREDO ST, SAN ANTONIO, 78207",5,2123851,13697313,2025-02-07,2026-02-07,78207
Health & Sanitation,1020305516,2025-05-07,2025-05-14,2025-05-09,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"827 S ZARZAMORA ST, SAN ANTONIO, 78207",5,2118678,13700533,2025-02-07,2026-02-07,78207
Health & Sanitation,1020306168,2025-05-08,2025-05-30,2025-06-22,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"Garcia Park,  1200 N FRIO ST, SAN ANTONIO, 78207",5,2125820,13707124,2025-02-07,2026-02-07,78207
Health & Sanitation,1020308738,2025-05-09,2025-05-16,2025-05-09,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"1718 S BRAZOS ST, SAN ANTONIO, 78207",5,2122866,13696419,2025-02-07,2026-02-07,78207
Health & Sanitation,1020309508,2025-05-09,2025-06-03,2025-06-25,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1009 MONTEZUMA, SAN ANTONIO, 78207",5,2119670,13700182,2025-02-07,2026-02-07,78207
Health & Sanitation,1020314896,2025-05-14,2025-05-20,2025-05-19,NO,Metro Health,Food Establishments,General Sanitation (Pests),Closed,Constituent Call,"1 HAVEN FOR HOPE WAY, SAN ANTONIO, 78207",5,2125765,13705268,2025-02-07,2026-02-07,78207
Health & Sanitation,1020319775,2025-05-16,2025-05-22,2025-05-20,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"703 N ZARZAMORA ST, SAN ANTONIO, 78207",5,2119224,13705847,2025-02-07,2026-02-07,78207
Health & Sanitation,1020320162,2025-05-16,2025-05-23,2025-05-16,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"1901 S SAN MARCOS, SAN ANTONIO, 78207",5,2123847,13695417,2025-02-07,2026-02-07,78207
Health & Sanitation,1020320361,2025-05-16,2025-06-09,2025-06-22,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"121 N ZARZAMORA ST, SAN ANTONIO, 78207",5,2119041,13703760,2025-02-07,2026-02-07,78207
Health & Sanitation,1020328972,2025-05-22,2025-05-29,2025-05-23,NO,Metro Health,Food Establishments,General Sanitation (Food Contamination),Closed,Constituent Call,"430 S SANTA ROSA, SAN ANTONIO, 78207",1,2128324,13700975,2025-02-07,2026-02-07,78207
Health & Sanitation,1020329704,2025-05-22,2025-06-13,2025-07-24,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"3134 COLIMA ST, SAN ANTONIO, 78207",5,2115344,13700210,2025-02-07,2026-02-07,78207
Health & Sanitation,1020333249,2025-05-24,2025-06-17,2025-06-26,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"Martinez Park,  249 MERIDA ST, SAN ANTONIO, 78207",5,2121344,13696321,2025-02-07,2026-02-07,78207
Health & Sanitation,1020335087,2025-05-27,2025-06-02,2025-05-29,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"1901 W COMMERCE ST, SAN ANTONIO, 78207",5,2122657,13703245,2025-02-07,2026-02-07,78207
Health & Sanitation,1020335842,2025-05-27,2025-06-02,2025-05-29,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"1025 S FRIO ST, SAN ANTONIO, 78207",5,2125847,13699030,2025-02-07,2026-02-07,78207
Health & Sanitation,1020342790,2025-05-30,2025-06-05,2025-06-02,NO,Metro Health,Vector,Vector Public Right of Way,Closed,Constituent Call,"142 MICKLEJOHN ST, SAN ANTONIO, 78207",1,2120553,13708530,2025-02-07,2026-02-07,78207
Health & Sanitation,1020347099,2025-06-02,2025-06-25,2025-06-25,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"613 TORREON, SAN ANTONIO, 78207",5,2121513,13700778,2025-02-07,2026-02-07,78207
Health & Sanitation,1020347782,2025-06-03,2025-06-25,,YES,Human Services,Homeless Services,Homeless Outreach,Open,Constituent Call,"Market Square,  514 W COMMERCE ST, SAN ANTONIO, 78207",1,2127825,13702560,2025-02-07,2026-02-07,78207
Health & Sanitation,1020349041,2025-06-03,2025-06-25,2025-06-30,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1539 RUIZ ST, SAN ANTONIO, 78207",5,2118759,13706687,2025-02-07,2026-02-07,78207
Health & Sanitation,1020350432,2025-06-04,2025-06-26,,YES,Human Services,Homeless Services,Homeless Outreach,Open,Constituent Call,"2800 MORALES, SAN ANTONIO, 78207",5,2117770,13705544,2025-02-07,2026-02-07,78207
Health & Sanitation,1020354870,2025-06-06,2025-06-12,2025-06-11,NO,Metro Health,Vector,Vector Public Right of Way,Closed,Constituent Call,"415 PATTON BLVD, SAN ANTONIO, 78207",5,2112910,13695726,2025-02-07,2026-02-07,78207
Health & Sanitation,1020355282,2025-06-06,2025-07-01,2025-06-30,NO,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"2206 EL PASO ST, SAN ANTONIO, 78207",5,2119749,13700643,2025-02-07,2026-02-07,78207
Health & Sanitation,1020359482,2025-06-10,2025-06-16,2025-06-12,NO,Metro Health,Food Establishments,General Sanitation (Pests),Closed,Constituent Call,"3515 W COMMERCE ST, SAN ANTONIO, 78207",5,2115944,13703921,2025-02-07,2026-02-07,78207
Health & Sanitation,1020362601,2025-06-11,2025-07-03,2025-07-24,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"806 DELGADO ST, SAN ANTONIO, 78207",5,2122201,13706959,2025-02-07,2026-02-07,78207
Health & Sanitation,1020362626,2025-06-11,2025-06-17,2025-06-13,NO,Metro Health,Food Establishments,General Sanitation (Sanitary Conditions),Closed,Constituent Call,"821 W COMMERCE ST, SAN ANTONIO, 78207",5,2126548,13702866,2025-02-07,2026-02-07,78207
Health & Sanitation,1020373613,2025-06-17,2025-06-24,2025-06-18,NO,Metro Health,Food Establishments,General Sanitation (Ventilation),Closed,Constituent Call,"4010 W COMMERCE ST, SAN ANTONIO, 78207",5,2113897,13703868,2025-02-07,2026-02-07,78207
Health & Sanitation,1020375241,2025-06-18,2025-06-26,2025-06-20,NO,Metro Health,Facility License,Renewal / Invoice,Closed,Constituent Call,"201 BRADY BLVD, SAN ANTONIO, 78207",5,2119917,13694107,2025-02-07,2026-02-07,78207
Health & Sanitation,1020377848,2025-06-20,2025-06-26,2025-06-25,NO,Metro Health,Food Establishments,General Sanitation (Hygienic Practices),Closed,Constituent Call,"827 S ZARZAMORA ST, SAN ANTONIO, 78207",5,2118678,13700533,2025-02-07,2026-02-07,78207
Health & Sanitation,1020385891,2025-06-25,2025-07-01,2025-06-26,NO,Metro Health,Vector,Vector Public Right of Way,Closed,Constituent Call,"1219 PEREZ, SAN ANTONIO, 78207",5,2122249,13705493,2025-02-07,2026-02-07,78207
Health & Sanitation,1020387201,2025-06-25,2025-07-17,2025-09-20,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"2411 POTOSI ST, SAN ANTONIO, 78207",5,2115447,13698826,2025-02-07,2026-02-07,78207
